Title,Rating,Votes,Duration,Genre
Kraven the Hunter,5.5,54000,127,Action
Sonic the Hedgehog 3,6.9,58000,110,Action
Gladiator II,6.5,227000,148,Action
Twisters,6.5,167000,122,Action
Freaky Tales,7.2,1100,107,Action
Deadpool & Wolverine,7.6,490000,128,Action
The Crow,4.7,34000,111,Action
Dune: Part Two,8.5,623000,166,Action
The Ministry of Ungentlemanly Warfare,6.8,134000,122,Action
Venom: The Last Dance,6,116000,110,Action
Pushpa: The Rule - Part 2,6.1,56000,201,Action
Civil War,7,236000,109,Action
Furiosa: A Mad Max Saga,7.5,284000,148,Action
Carry-On,6.5,164000,119,Action
The Beekeeper,6.3,156000,105,Action
Fight or Flight,6.4,6600,97,Action
Borderlands,4.7,48000,101,Action
The Count of Monte-Cristo,7.6,34000,178,Action
The Fall Guy,6.8,220000,126,Action
Transformers One,7.6,50000,104,Action
Road House,6.2,167000,121,Action
Solo Leveling: ReAwakening,8.7,12000,121,Action
The Lord of the Rings: The War of the Rohirrim,6.3,30000,134,Action
Rebel Ridge,6.8,88000,131,Action
Elevation,5.6,22000,91,Action
Love Lies Bleeding,6.6,57000,104,Action
Classified,3.7,2500,105,Action
William Tell,5.7,2400,133,Action
Madame Web,4,101000,116,Action
Bad Boys: Ride or Die,6.5,100000,115,Action
Argylle,5.6,92000,139,Action
Red One,6.3,139000,123,Action
Godzilla x Kong: The New Empire,6.1,121000,115,Action
Damsel,6.1,109000,110,Action
Kingdom of the Planet of the Apes,6.9,151000,145,Action
Hellboy: The Crooked Man,4.5,13000,99,Action
Land of Bad,6.6,51000,113,Action
Survive,4.5,2400,90,Action
Gunner,3.2,2600,106,Action
The Union,5.4,53000,107,Action
Kung Fu Panda 4,6.3,68000,94,Action
Werewolves,4.4,6500,93,Action
Monkey Man,6.8,91000,121,Action
Uglies,4.7,33000,100,Action
Aftermath,5.1,3900,97,Action
The Killer's Game,5.8,17000,104,Action
Homestead,5.3,3500,112,Action
The Killer,5.7,13000,126,Action
Arcadian,5.5,23000,92,Action
Toofan,7.4,7900,145,Action
Dirty Angels,4.3,3400,104,Action
Old Guy,5.2,2300,94,Action
Beverly Hills Cop: Axel F,6.4,81000,118,Action
Thelma,7,22000,98,Action
Lift,5.5,49000,107,Action
Blitz,6.2,16000,120,Action
Absolution,5.2,7900,112,Action
The Instigators,6.2,38000,101,Action
Maharaja,8.4,67000,141,Action
Attack on Titan the Movie: The Last Attack,9.2,15000,145,Action
Drive-Away Dolls,5.4,23000,84,Action
Marco,6.8,21000,145,Action
Azrael,5.4,11000,86,Action
Atlas,5.6,56000,118,Action
Descendants: The Rise of Red,4.7,7000,91,Action
Karma,7.9,1400,167,Action
Apocalypse Z: The Beginning of the End,6.1,20000,117,Action
Canary Black,5.3,11000,101,Action
The Prosecutor,6.7,1900,117,Action
Under Paris,5.2,36000,104,Action
Kalki 2898 AD,7,66000,180,Action
Cash Out,4.8,2900,92,Action
Armor,3.6,3800,89,Action
Twilight of the Warriors: Walled In,7,9400,126,Action
Brothers,5.4,13000,89,Action
Long Gone Heroes,5.2,1100,101,Action
Watchmen: Chapter I,7,6500,83,Action
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Action
The Silent Hour,6.1,7400,99,Action
One More Shot,5.4,3700,103,Action
Trigger Warning,4.6,19000,106,Action
The Shadow Strays,6.5,9100,144,Action
Watchmen: Chapter II,7,3000,90,Action
Jackpot!,5.8,30000,106,Action
Relay,7.5,106,112,Action
Weekend in Taipei,5.7,4600,100,Action
Revolver,5.4,860,114,Action
Aavesham,7.8,28000,155,Action
Hitpig,5.1,929,86,Action
Boneyard,4.1,5000,96,Action
Red Right Hand,5.5,5900,111,Action
The Fix,4.6,1200,98,Action
Take Cover,5.1,2400,90,Action
River of Blood,5.2,1800,86,Action
Megamind vs. The Doom Syndicate,2.5,5600,83,Action
Trouble,6.2,6800,98,Action
Chief of Station,4.7,4600,97,Action
The Quiet Ones,6.4,685,110,Action
Cloud,6.3,1100,124,Action
Baby John,5.2,17000,159,Action
Uprising,6.6,5500,126,Action
Panda Plan,5.1,1300,99,Action
Viduthalai Part 2,7.9,16000,170,Action
No Way Up,4.6,10000,90,Action
Damaged,4.7,7300,97,Action
The Thundermans Return,5,1800,70,Action
Sikandar Ka Muqaddar,6,24000,142,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93,Action
The Roundup: Punishment,6.6,5200,109,Action
My Spy: The Eternal City,5.7,11000,112,Action
Role Play,5.5,19000,100,Action
Duchess,4.6,1300,114,Action
Amaran,8.2,18000,167,Action
Prey,3.7,3300,86,Action
Singham Again,4.7,75000,144,Action
My Hero Academia: You're Next,7,2100,110,Action
Hanu Man,7.7,29000,158,Action
Harbin,6.3,618,108,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94,Action
Jigra,6,24000,153,Action
The Wages of Fear,4.6,4100,104,Action
Levels,5,1500,93,Action
Baby Invasion,4.5,444,80,Action
"I, the Executioner",6.3,1700,118,Action
Dominique,5.3,2200,100,Action
Devara Part 1,6,20000,176,Action
A Legend,4.7,903,129,Action
Rogue Elements: A Ryan Drake Story,4.7,965,44,Action
The Clean Up Crew,4.1,1100,95,Action
Alien: Rubicon,2.4,340,86,Action
The Courier,6,4400,101,Action
Joe Baby,7.4,32,86,Action
Dan Da Dan: First Encounter,8.2,2700,83,Action
Officer Black Belt,6.8,8200,108,Action
Badland Hunters,5.9,12000,107,Action
Hounds of War,4.5,1800,95,Action
Rifle Club,7,4200,113,Action
Utopia,3.6,360,91,Action
Night Call,6.8,1900,97,Action
Hagen,6.1,1200,139,Action
Ultraman: Rising,6.9,6400,117,Action
Mafia Wars,3.4,240,94,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,104,Action
Dark Match,5.4,946,94,Action
Cesium Fallout,6.4,673,136,Action
Death Whisperer 2,6.4,1400,110,Action
Anaconda,4.9,635,84,Action
The Price of Money: A Largo Winch Adventure,5,1200,100,Action
Fighter,6.2,52000,166,Action
Kill Em All 2,4.1,1300,88,Action
Darkness of Man,4.8,3200,109,Action
Code 8: Part II,5.7,16000,100,Action
Handsome Guys,6.5,827,101,Action
Vanvaas,6.6,1300,160,Action
Bougainvillea,6.4,3200,138,Action
Air Force One Down,4.4,2900,84,Action
Zero,6.2,60,88,Action
Sunray: Fallen Soldier,4.3,628,115,Action
Simarik,6.4,2600,111,Action
Devil's Knight,5.2,879,90,Action
Raqa,5.7,205,107,Action
Pani,6.9,3000,143,Action
Striking Rescue,5.7,406,106,Action
